StudentID,FirstName,LastName,Gender,DateOfBirth
2500001,Viet,Do,Male,2006-01-24
2500002,Diem,Tran,Male,2007-10-18
2500003,Nhu,Hoang,Male,2007-01-12
2500004,Vinh,Dang,Male,2007-08-29
2500005,Nghi,Dang,Female,2007-03-08
2500006,Quyen,Duong,Male,2007-05-01
2500007,Sy,Duong,Female,2006-09-02
2500008,Ynh,Duong,Female,2007-03-02
2500009,Loan,Ngo,Female,2006-02-01
2500010,Kim,Hoang,Female,2007-02-25
2500011,Loc,Dang,Female,2006-12-02
2500012,Kim,Tran,Male,2006-01-03
2500013,Phi,Tran,Male,2007-08-13
2500014,Y,Ly,Female,2006-07-31
2500015,Linh,Do,Female,2007-03-11
2500016,Phi,Le,Male,2006-07-13
2500017,Nhi,Do,Female,2007-05-31
2500018,Uyen,Duong,Female,2007-07-24
2500019,Xuan,Hoang,Female,2007-10-23
2500020,Manh,Dang,Male,2007-06-12
2500021,Lien,Dang,Female,2007-02-10
2500022,Phat,Ly,Male,2006-05-04
2500023,Phong,Dang,Female,2007-05-07
2500024,My,Le,Male,2006-05-26
2500025,Tung,Ngo,Male,2007-04-18
2500026,Hieu,Dang,Female,2007-02-05
2500027,Ynh,Hoang,Female,2006-01-10
2500028,Diep,Dang,Female,2006-10-18
2500029,Toan,Ly,Female,2007-09-23
2500030,Duong,Pham,Male,2007-03-13
2500031,Lan,Do,Female,2007-08-27
2500032,Oanh,Pham,Male,2006-04-04
2500033,Phuc,Dang,Male,2006-09-21
2500034,Luan,Ngo,Male,2006-08-20
2500035,Phat,Hoang,Male,2006-05-26
2500036,Nhu,Pham,Female,2006-06-27
2500037,Luan,Dang,Female,2007-06-30
2500038,Oanh,Nguyen,Male,2007-12-25
2500039,Manh,Nguyen,Male,2006-03-17
2500040,Manh,Tran,Male,2007-07-01
2500041,Hanh,Dang,Female,2007-08-06
2500042,Son,Ngo,Female,2007-02-15
2500043,Kim,Pham,Female,2006-06-12
2500044,Nghia,Dang,Female,2007-05-29
2500045,Hai,Vo,Female,2007-12-22
2500046,Duong,Duong,Female,2006-02-26
2500047,Thien,Hoang,Female,2006-04-10
2500048,Phong,Ly,Male,2007-12-03
