TeacherID,TeacherName,Email,Phone
TCH001,Instructor 1,teacher01@university.edu,(375) 396-1537
TCH012,Instructor 2,teacher12@university.edu,(694) 337-8651
TCH023,Instructor 3,teacher23@university.edu,(323) 486-8865
TCH034,Instructor 4,teacher34@university.edu,(634) 239-2155
TCH045,Instructor 5,teacher45@university.edu,(729) 205-1049
TCH047,Instructor 6,teacher47@university.edu,(382) 887-3647
TCH048,Instructor 7,teacher48@university.edu,(861) 460-1233
TCH049,Instructor 8,teacher49@university.edu,(531) 974-7369
TCH050,Instructor 9,teacher50@university.edu,(669) 285-2694
TCH002,Instructor 10,teacher02@university.edu,(702) 779-5307
TCH003,Instructor 11,teacher03@university.edu,(815) 548-8566
TCH004,Instructor 12,teacher04@university.edu,(735) 784-5441
TCH005,Instructor 13,teacher05@university.edu,(566) 754-4239
TCH006,Instructor 14,teacher06@university.edu,(268) 632-7015
TCH007,Instructor 15,teacher07@university.edu,(591) 712-8955
TCH008,Instructor 16,teacher08@university.edu,(644) 244-4896
TCH009,Instructor 17,teacher09@university.edu,(352) 383-3997
TCH010,Instructor 18,teacher10@university.edu,(312) 963-9504
TCH011,Instructor 19,teacher11@university.edu,(401) 662-9964
TCH013,Instructor 20,teacher13@university.edu,(395) 272-1257
TCH014,Instructor 21,teacher14@university.edu,(904) 600-7047
TCH015,Instructor 22,teacher15@university.edu,(549) 804-1764
TCH016,Instructor 23,teacher16@university.edu,(783) 479-3851
TCH017,Instructor 24,teacher17@university.edu,(648) 517-6511
TCH018,Instructor 25,teacher18@university.edu,(351) 292-5855
TCH019,Instructor 26,teacher19@university.edu,(424) 861-3404
TCH020,Instructor 27,teacher20@university.edu,(681) 779-9059
TCH021,Instructor 28,teacher21@university.edu,(419) 681-6139
TCH022,Instructor 29,teacher22@university.edu,(716) 987-9225
TCH024,Instructor 30,teacher24@university.edu,(941) 615-5018
TCH025,Instructor 31,teacher25@university.edu,(602) 221-6751
TCH026,Instructor 32,teacher26@university.edu,(779) 403-9239
TCH027,Instructor 33,teacher27@university.edu,(984) 724-1349
TCH028,Instructor 34,teacher28@university.edu,(307) 945-5489
TCH029,Instructor 35,teacher29@university.edu,(822) 854-5732
TCH030,Instructor 36,teacher30@university.edu,(476) 509-3044
TCH031,Instructor 37,teacher31@university.edu,(235) 460-7600
TCH032,Instructor 38,teacher32@university.edu,(674) 962-4638
TCH033,Instructor 39,teacher33@university.edu,(755) 415-1973
TCH035,Instructor 40,teacher35@university.edu,(613) 660-9758
TCH036,Instructor 41,teacher36@university.edu,(878) 573-3758
TCH037,Instructor 42,teacher37@university.edu,(861) 244-1647
TCH038,Instructor 43,teacher38@university.edu,(921) 695-1197
TCH039,Instructor 44,teacher39@university.edu,(300) 380-2001
TCH040,Instructor 45,teacher40@university.edu,(369) 229-3330
TCH041,Instructor 46,teacher41@university.edu,(964) 390-1726
TCH042,Instructor 47,teacher42@university.edu,(938) 212-5742
TCH043,Instructor 48,teacher43@university.edu,(688) 643-9298
TCH044,Instructor 49,teacher44@university.edu,(822) 697-6354
TCH046,Instructor 50,teacher46@university.edu,(638) 532-6737
